Int_no,Rue_1,Rue_2,Arrondissement,X,Y,Longitude,Latitude
2086,20e Avenue,Beaubien,Rosemont - Petite-Patrie,298482.03,5045808.86,-73.58094489999999,45.5611604
2151,Hochelaga,Joliette,Mercier - Hochelaga - Maisonneuve,300785,5045213,-73.55142239999999,45.5468103
2167,Garnier,Saint-Grégoire,Plateau Mont-Royal,297986.79,5043992.09,-73.5666483,45.5175426
2232,Parc,Pins,Plateau Mont-Royal,298695.26,5041304.3,-73.5779594,45.511455
2303,Chomedey,Maisonneuve,Ville-Marie,298241.04,5039087.6,-73.5839089,45.4917023
2371,Assomption,Sapins des,Rosemont - Petite-Patrie,300122.11,5048170.28,-73.5596789,45.5739825
2386,Bellechasse,Louis-Hémon,Rosemont - Petite-Patrie,297774.29,5045051.59,-73.58996929999999,45.5453416
2410,Chabanel,Parc,Ahuntsic - Cartierville,292714.72,5044270.75,-73.65467029999999,45.5382296
2437,Saint-André,Saint-Antoine,Ville-Marie,300700.69,5041575,-73.55730299999999,45.516308
2479,Maurice-Duplessis,Saint-Jean-Baptiste,Rivières-des-Prairies - Pointe-aux-Trembles,301537.34,5057714.55,-73.5420575,45.65938329999999
2656,Saint-André,Viger,Ville-Marie,300642,5041613.5,-73.55321219999999,45.5144286
2699,Chemin du Golf,Gouin,Ahuntsic - Cartierville,286915.64,5043106.33,-73.7290636,45.5276204
2773,Henri-Julien,Jarry,Villeray - Saint-Michel - Parc-Extension,294651.81,5044607.11,-73.6299375,45.5413254
2796,Henri-Bourassa,Métropolitain Est,Rivières-des-Prairies - Pointe-aux-Trembles,303545.08,5057898.56,-73.5158482,45.6611735
2850,Clark,Maisonneuve (int. Nord),Ville-Marie,299600.9,5041181.97,-73.5395631,45.5524684
2869,Commune de la,McGill,Ville-Marie,300668.93,5039874.43,-73.552798,45.499129
2901,Maurice-Duplessis,Pierre-Baillargeon,Rivières-des-Prairies - Pointe-aux-Trembles,298833.28,5055715.57,-73.57650439999999,45.6412718
2947,Acadie,d'Anvers,Villeray - Saint-Michel - Parc-Extension,293793,5043198,-73.640936,45.5286115
3007,Saint-Denis,Sauvé,Ahuntsic - Cartierville,292552.4,5045586.75,-73.56478919999999,45.515919
3028,Bercy,Rouen,Ville-Marie,300520,5043998,1.099971,49.44323199999999
3060,Boyer,Saint-Zotique,Rosemont - Petite-Patrie,296544.7,5044304.58,-73.599546,45.54477199999999
3064,Crescent,Sherbrooke,Ville-Marie,298595.82,5039897,-73.5794019,45.4989666
3097,Belgrave,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,296020,5036189,-73.61219799999999,45.4654894
3231,Assomption,Marseille,Mercier - Hochelaga - Maisonneuve,301235.39,5047647.55,5.36978,43.296482
3473,Jean-d'Estrées / Murray,Notre-Dame,Ville-Marie,299817,5039377,-73.63225779999999,45.4490572
3527,Papineau,Ville-Marie,Ville-Marie,301076.76,5042279.87,-73.54773039999999,45.5203858
3628,Chabanel,Jeanne-Mance,Ahuntsic - Cartierville,292772.39,5044409.99,-73.6540388,45.5395166
3720,Beaubien,De Gaspé,Rosemont - Petite-Patrie,296449.21,5043560.08,-73.5786869,45.5638057
3757,Clarence-Gagnon,Notre-Dame,Mercier - Hochelaga - Maisonneuve,303168.06,5047844,-73.52091589999999,45.57048229999999
3803,Mont-Royal,Resther,Plateau Mont-Royal,298433.32,5042851.59,-73.5874071,45.5071024
3853,Bélanger,Boyer,Rosemont - Petite-Patrie,296276.2,5044474.08,-73.567256,45.5016889
3936,Bélanger,Chatelain,Mercier - Hochelaga - Maisonneuve,298981.27,5048896.07,-73.567256,45.5016889
3944,16 e Avenue,Rosemont,Rosemont - Petite-Patrie,298750.5,5046299.57,-73.5774263,45.5565672
4081,McGill,William & Place Youville,Ville-Marie,300405.16,5039994,-73.5771511,45.50478469999999
4123,Henri-Julien,Pins des,Plateau Mont-Royal,299119.73,5041994.22,-73.614671,45.536465
4175,Carillon,Notre-Dame,Sud-Ouest,297362.6,5036541,-73.5561204,45.5045254
4320,Bellechasse,Boyer,Rosemont - Petite-Patrie,297061.91,5043974.32,-73.567256,45.5016889
4323,Chabanel,Saint-Urbain,Ahuntsic - Cartierville,292930.66,5044791.24,-73.65191229999999,45.5429158
4387,Brennan,Nazareth,Ville-Marie,300521.84,5039419.5
4427,Musée,Sherbrooke,Ville-Marie,298583.7,5039879.14,-73.5794001,45.4985219
4582,Durocher,Van Horne,Outremont,296096.41,5042722,-73.61137099999999,45.5243274
4643,Cartier,René-Lévesque,Ville-Marie,300958.86,5042462.08,-73.5637368,45.5167921
4672,Notre-Dame,Station Chemin de la(face IGA),Sud-Ouest,298257.95,5037580.06,-73.583575,45.477993
4794,Acadie,Ogilvy,Villeray - Saint-Michel - Parc-Extension,294816,5042762,-73.6277559,45.5248333
5006,Bellechasse,Saint-Laurent,Rosemont - Petite-Patrie,296570.85,5043218.2,-73.6054123,45.52881499999999
5371,Beaubien,Boyer,Rosemont - Petite-Patrie,296814.8,5044131.58,-73.602239,45.5370418
5643,Albani,Rosemont,Mercier - Hochelaga - Maisonneuve,300329,5049189,-73.5836271,45.5517018
5721,Crowley,Décarie,Côte-des-Neiges - Notre-Dame-de-Grâce,296644.09,5036930.37,-73.6042887,45.4722978
5725,Lacordaire,Saint-Zotique,Saint-Léonard,299406.6,5049084,-73.56913229999999,45.5815892
6152,Edouard-Montpetit,Vincent-d'Indy,Outremont,296033.7,5041145.47,-73.6121977,45.5102477
6189,Carlton,Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,294338.46,5040196.7,-73.6338856,45.5016109
6283,Clark,Montigny,Ville-Marie,299670.13,5041138.18,-73.61304,45.5314382
6379,De Contrecoeur,Sherbrooke,Mercier - Hochelaga - Maisonneuve,302766.43,5052437.26,-73.5260385,45.61184859999999
6469,Monk,Notre-Dame,Sud-Ouest,296974.6,5036300.5,-73.59638079999999,45.4588384
6602,Angrignon,Saint-Patrick,LaSalle,295070,5034634.99,-73.567256,45.5016889
7078,Érables,Saint-Joseph,Plateau Mont-Royal,298802.57,5044242.1,-73.5768647,45.5381059
7084,Côte-Sainte-Catherine,Laurier,Outremont,297053.22,5041793.5,-73.59881899999999,45.5160562
7148,Côte-Sainte-Catherine,Stuart,Outremont,296505.72,5041716.05,-73.605834,45.515421
7149,Bélanger,Lacordaire,Saint-Léonard,299135.74,5049212.05,-73.5725373,45.58285660000001
7197,Marcel-Laurin,Saint-Louis,Saint-Laurent,290947.38,5040506,-73.678103,45.50449
7206,Patricia,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,293752.84,5035047.06,-73.641266,45.455395
7211,Côte-des-Neiges,4595 (accès cimetière),Côte-des-Neiges - Notre-Dame-de-Grâce,296303.4,5039561,-73.608322,45.4999574
7276,7e Avenue,Sherbrooke,Rivières-des-Prairies - Pointe-aux-Trembles,303653.42,5055718.54,-73.5148358,45.64136690000001
7708,83e avenue,Antoine-Chaudillon/Notre-Dame,Rivières-des-Prairies - Pointe-aux-Trembles,305652.86,5061181.67,-73.4884806,45.692577
7712,Arcade,Saint-Laurent,Plateau Mont-Royal,296713.51,5043116.52,-73.74975669999999,45.4985638
7721,Assomption,Jean-Talon,Saint-Léonard,298493.09,5049037,-73.58083169999999,45.5812177
8201,Côte-Sainte-Catherine,Maplewood / Villeneuve,Outremont,297420.41,5041778,-73.5944595,45.5158845
8204,Côte-Sainte-Catherine,McEachran,Outremont,296284.79,5041644.66,-73.6089367,45.5146841
